ModelID	MSIScore	LoHFraction	WGD	CIN	Ploidy	Aneuploidy
ACH-000914	54.51	0.0736592868224331	0.0	0.105701678944294	1.96811426948103	2.0
ACH-000889	3.33					
ACH-000104	2.13	0.0532517776635668	0.0	0.0586229537808187	2.06667600348288	1.0
ACH-001848	2.19	0.373657775568661	1.0	0.649088340424594	3.32180114288112	19.0
ACH-000080	2.13	8.82249158094935e-05	0.0	0.0010306655075528	2.00102274029733	0.0
ACH-001618	2.05	0.075735661422011	0.0	0.297226477878282	2.35714439019927	12.0
ACH-000322	1.48					
ACH-001699	2.3	0.241459159790784	1.0	0.610708187709516	3.59996414738959	26.0
ACH-000874	24.26	0.0395293281996886	0.0	0.140089173494797	2.17487521112355	4.0
ACH-001334	2.01	0.196116429501846	0.0	0.270163207628219	2.05941816552366	8.0
ACH-000187	0.68	0.290710122174142	1.0	0.70144763467681	3.77932722953691	27.0
ACH-000336	2.82	0.074946135524701	0.0	0.21821297872321	2.31455025880452	5.0
ACH-002711	1.97					
ACH-001209	2.75	0.0454866939479962	0.0	0.102316931673058	2.12526459294349	4.0
ACH-002524	2.49	0.394874764399814	1.0	0.713260623391758	3.47571419904486	28.0
ACH-000599	3.27	0.408522555939676	1.0	0.85349936309242	4.2981185197003	26.0
ACH-000663	2.43	0.120194367367798	1.0	0.688257758931734	4.60202908850226	24.0
ACH-000261	2.45	0.535133996943112	1.0	0.639585326746392	3.65323945868958	28.0
ACH-000351	2.0	0.232192153317523	1.0	0.460653736414477	3.38768687376087	20.0
ACH-002067	2.83	0.210254743711839	1.0	0.696145550866066	3.02697550815499	23.0
ACH-000697	6.57	0.182990774204078	0.0	0.296554437581981	2.24926672717938	3.0
ACH-001642	3.04	0.13982119148467	0.0	0.265755712641435	2.17641227397993	7.0
ACH-000426	2.47	0.182137880767687	1.0	0.302760801053863	4.02377881117373	8.0
ACH-000947	81.33					
